Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
SINT-DENIJS-BOEKEL,192,221.2,2.3,41,13.0,4.0,6.77,3.65,0.0,SINT-DENIJS-BOEKEL,1000,300,250,1000,442.4,0.09523809523809523,-0.2114249553564705,252.0
SINT-GENESIUS-RODE,370,410.36,2.22,75,19.0,3.0,5.14,1.62,0.0,SINT-GENESIUS-RODE,1000,300,250,1000,820.72,0.15840621963070942,1.0069121136377257,119.0
SINT-GILLIS(DENDERMONDE),179,311.56,3.48,36,18.0,4.0,10.06,4.47,0.0,SINT-GILLIS(DENDERMONDE),1000,300,250,1000,623.12,0.07580174927113703,0.5536428828059354,170.0
SINT-JOB,295,268.94,1.82,60,14.0,2.0,4.75,1.36,0.0,SINT-JOB,1000,300,250,1000,537.88,0.1185617103984451,0.003705732821782451,229.0
SINT-JORIS-WEERT,177,70.865,0.8,37,3.0,2.0,1.69,1.69,0.0,SINT-JORIS-WEERT,1000,300,250,1000,141.73,0.06025267249757046,-2.1126881536401725,472.0
SINT-KATELIJNE-WAVER,604,1040.725,3.45,128,58.0,12.0,9.6,4.14,0.0,SINT-KATELIJNE-WAVER,1000,300,250,1000,2081.45,0.3556851311953353,5.898046202489561,26.0
SINT-MARIABURG,180,282.985,3.14,37,16.0,2.0,8.89,2.78,0.0,SINT-MARIABURG,1000,300,250,1000,565.97,0.0913508260447036,0.34508900491244066,189.0
SINT-MARTENS-BODEGEM,135,91.61,1.36,27,2.0,0.0,1.48,0.0,0.0,SINT-MARTENS-BODEGEM,1000,300,250,1000,183.22,0.06608357628765792,-2.2621379753223034,493.0
SINT-NIKLAAS,349,221.125,1.27,70,10.0,0.0,2.87,0.29,0.0,SINT-NIKLAAS,1000,300,250,1000,442.25,0.14965986394557823,-0.05652033510676467,237.0
SINT-NIKLAAS-OOST,300,208.91,1.39,60,10.0,0.0,3.33,0.33,0.0,SINT-NIKLAAS-OOST,1000,300,250,1000,417.82,0.13119533527696792,-0.3294800970628075,266.0
SINT-TRUIDEN,118,133.71,2.27,24,8.0,0.0,6.78,0.0,0.0,SINT-TRUIDEN,1000,300,250,1000,267.42,0.05150631681243926,-1.049359574487408,362.0
SLEIDINGE,80,53.51,1.34,16,3.0,0.0,3.75,0.0,455.0,SLEIDINGE,269,62,42,269,28.79,0.024295432458697766,-2.348018853103586,496.0
SOIGNIES,211,366.96,3.48,45,21.0,1.0,9.95,0.95,456.0,SOIGNIES,2371,674,548,2371,1740.12,0.05830903790087463,0.6339067081858181,156.0
SOLRE-SUR-SAMBRE,81,65.275,1.61,17,0.0,0.0,0.0,0.0,457.0,SOLRE-SUR-SAMBRE,77,30,26,77,10.05,0.011661807580174927,-3.377205678728037,570.0
SPA,64,38.225,1.19,13,2.0,0.0,3.12,0.0,458.0,SPA,414,207,153,414,31.65,0.01652089407191448,-2.667454633928837,524.0
SPA-GERONSTERE,30,10.485,0.7,6,0.0,0.0,0.0,0.0,459.0,SPA-GERONSTERE,382,172,124,382,8.01,0.012633624878522837,-3.6814495478661664,600.0
STATTE,192,251.035,2.61,39,16.0,2.0,8.33,2.6,472.0,STATTE,396,275,220,396,198.82,0.11758989310009718,0.415869434186665,179.0
STOCKEM,131,115.685,1.77,27,4.0,0.0,3.05,0.76,473.0,STOCKEM,26,6,10,26,6.02,0.03304178814382896,-2.126316710295978,473.0
STOUMONT,70,81.415,2.33,14,5.0,1.0,7.14,2.86,0.0,STOUMONT,1000,300,250,1000,162.83,0.0184645286686103,-1.5355706083208356,432.0
SY,69,48.14,1.4,14,0.0,0.0,0.0,0.0,474.0,SY,49,12,12,49,4.72,0.025267249757045675,-3.3428868231429347,565.0
TAMINES,221,297.01,2.69,50,20.0,2.0,9.05,2.26,475.0,TAMINES,1606,364,365,1606,954.0,0.13022351797862003,0.9235409916284437,125.0
TEMSE,91,174.11,3.83,20,11.0,1.0,12.09,2.2,476.0,TEMSE,674,237,201,674,234.7,0.014577259475218658,-0.07175823986864083,239.0
TERHAGEN,231,306.36,2.65,48,16.0,6.0,6.93,4.76,0.0,TERHAGEN,1000,300,250,1000,612.72,0.10301263362487852,0.20998794261024578,201.0
